"Category","Impact","Risk","Problem","Solution","ImpactedField","ImpactedValue","ResourceId","ResourceName","ResourceType","ResourceGroupName","LastUpdated","RecommendationId","Id"
"Security","High",,"System updates should be installed on your machines (powered by Azure Update Manager)","System updates should be installed on your machines (powered by Azure Update Manager)","Microsoft.Compute/virtualMachines","vmprovjpe202607091459","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-vmprov-jpe-20260709-1459/providers/microsoft.compute/virtualmachines/vmprovjpe202607091459","vmprovjpe202607091459","Microsoft.Compute/virtualMachines","rg-vmprov-jpe-20260709-1459","07/11/2026 12:07:30","8ddc57cb-bb76-1572-9d46-68b302e70798","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-vmprov-jpe-20260709-1459/providers/microsoft.compute/virtualmachines/vmprovjpe202607091459/providers/Microsoft.Advisor/recommendations/8ddc57cb-bb76-1572-9d46-68b302e70798"
"Security","High",,"System updates should be installed on your machines (powered by Azure Update Manager)","System updates should be installed on your machines (powered by Azure Update Manager)","Microsoft.Compute/virtualMachines","vm-nwri-src-jpe","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-nwri-jpe-20260709/providers/microsoft.compute/virtualmachines/vm-nwri-src-jpe","vm-nwri-src-jpe","Microsoft.Compute/virtualMachines","rg-nwri-jpe-20260709","07/11/2026 12:06:14","2c321d9f-610e-8661-849f-b7863887dc26","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-nwri-jpe-20260709/providers/microsoft.compute/virtualmachines/vm-nwri-src-jpe/providers/Microsoft.Advisor/recommendations/2c321d9f-610e-8661-849f-b7863887dc26"
"Security","High",,"System updates should be installed on your machines (powered by Azure Update Manager)","System updates should be installed on your machines (powered by Azure Update Manager)","Microsoft.Compute/virtualMachines","vm-nwri-dst-jpe","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-nwri-jpe-20260709/providers/microsoft.compute/virtualmachines/vm-nwri-dst-jpe","vm-nwri-dst-jpe","Microsoft.Compute/virtualMachines","rg-nwri-jpe-20260709","07/11/2026 12:07:52","bf72539d-a3b0-742d-6c74-d724dc2d4286","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-nwri-jpe-20260709/providers/microsoft.compute/virtualmachines/vm-nwri-dst-jpe/providers/Microsoft.Advisor/recommendations/bf72539d-a3b0-742d-6c74-d724dc2d4286"
"Security","High",,"EDR configuration issues should be resolved on virtual machines","EDR configuration issues should be resolved on virtual machines","Microsoft.Compute/virtualMachines","vmprovjpe202607091459","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/RG-VMPROV-JPE-20260709-1459/providers/Microsoft.Compute/virtualMachines/vmprovjpe202607091459","vmprovjpe202607091459","Microsoft.Compute/virtualMachines","RG-VMPROV-JPE-20260709-1459","07/11/2026 20:12:50","32205f1c-17b1-4828-ca73-401c274a5314","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/RG-VMPROV-JPE-20260709-1459/providers/Microsoft.Compute/virtualMachines/vmprovjpe202607091459/providers/Microsoft.Advisor/recommendations/32205f1c-17b1-4828-ca73-401c274a5314"
"Security","High",,"EDR configuration issues should be resolved on virtual machines","EDR configuration issues should be resolved on virtual machines","Microsoft.Compute/virtualMachines","vm-nwri-src-jpe","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/RG-NWRI-JPE-20260709/providers/Microsoft.Compute/virtualMachines/vm-nwri-src-jpe","vm-nwri-src-jpe","Microsoft.Compute/virtualMachines","RG-NWRI-JPE-20260709","07/11/2026 08:12:37","caf948c0-7960-6e28-9a59-e01eb3ff7a4d","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/RG-NWRI-JPE-20260709/providers/Microsoft.Compute/virtualMachines/vm-nwri-src-jpe/providers/Microsoft.Advisor/recommendations/caf948c0-7960-6e28-9a59-e01eb3ff7a4d"
"Security","High",,"EDR configuration issues should be resolved on virtual machines","EDR configuration issues should be resolved on virtual machines","Microsoft.Compute/virtualMachines","vm-nwri-dst-jpe","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/RG-NWRI-JPE-20260709/providers/Microsoft.Compute/virtualMachines/vm-nwri-dst-jpe","vm-nwri-dst-jpe","Microsoft.Compute/virtualMachines","RG-NWRI-JPE-20260709","07/11/2026 08:12:37","1c854bcc-6899-a9be-8ae4-435ec50cc0ae","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/RG-NWRI-JPE-20260709/providers/Microsoft.Compute/virtualMachines/vm-nwri-dst-jpe/providers/Microsoft.Advisor/recommendations/1c854bcc-6899-a9be-8ae4-435ec50cc0ae"
"HighAvailability","High",,"Enable zone redundancy for storage accounts to improve high availability and resiliency","Enable zone redundancy for storage accounts to improve high availability and resiliency","MICROSOFT.STORAGE/STORAGEACCOUNTS","mcaps97700b11998514dc","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/mcapsgovernance/providers/microsoft.storage/storageaccounts/mcaps97700b11998514dc","mcaps97700b11998514dc","MICROSOFT.STORAGE/STORAGEACCOUNTS","mcapsgovernance","07/11/2026 20:37:55","f05ad611-13ad-b01c-9136-1d79d27c5a28","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/mcapsgovernance/providers/microsoft.storage/storageaccounts/mcaps97700b11998514dc/providers/Microsoft.Advisor/recommendations/f05ad611-13ad-b01c-9136-1d79d27c5a28"
"HighAvailability","High",,"Enable zone redundancy for storage accounts to improve high availability and resiliency","Enable zone redundancy for storage accounts to improve high availability and resiliency","MICROSOFT.STORAGE/STORAGEACCOUNTS","stdemogootyszw77dgs","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-inventory-demo/providers/microsoft.storage/storageaccounts/stdemogootyszw77dgs","stdemogootyszw77dgs","MICROSOFT.STORAGE/STORAGEACCOUNTS","rg-inventory-demo","07/11/2026 14:01:01","9b8bb9b7-23f7-dc77-6213-46873127854c","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-inventory-demo/providers/microsoft.storage/storageaccounts/stdemogootyszw77dgs/providers/Microsoft.Advisor/recommendations/9b8bb9b7-23f7-dc77-6213-46873127854c"
"HighAvailability","High",,"Enable zone redundancy for storage accounts to improve high availability and resiliency","Enable zone redundancy for storage accounts to improve high availability and resiliency","MICROSOFT.STORAGE/STORAGEACCOUNTS","nwrilkb2l5f6fuhds","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-nwri-jpe-20260709/providers/microsoft.storage/storageaccounts/nwrilkb2l5f6fuhds","nwrilkb2l5f6fuhds","MICROSOFT.STORAGE/STORAGEACCOUNTS","rg-nwri-jpe-20260709","07/11/2026 13:39:55","42f00318-bd00-3188-a8ab-d9e041eefe5c","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-nwri-jpe-20260709/providers/microsoft.storage/storageaccounts/nwrilkb2l5f6fuhds/providers/Microsoft.Advisor/recommendations/42f00318-bd00-3188-a8ab-d9e041eefe5c"
"HighAvailability","High",,"Ensure Azure Disks are in the same zone as your VM for higher resiliency and availability","Ensure Azure Disks are in the same zone as your VM for higher resiliency and availability","MICROSOFT.COMPUTE/DISKS","vm-demo-app-01_osdisk_1_e89fd7546f2f430bb4c2eda57be7a17c","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-inventory-demo/providers/microsoft.compute/disks/vm-demo-app-01_osdisk_1_e89fd7546f2f430bb4c2eda57be7a17c","vm-demo-app-01_osdisk_1_e89fd7546f2f430bb4c2eda57be7a17c","MICROSOFT.COMPUTE/DISKS","rg-inventory-demo","07/11/2026 18:40:14","2dc79be0-2aea-2e9e-677a-b3b47ca2179b","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-inventory-demo/providers/microsoft.compute/disks/vm-demo-app-01_osdisk_1_e89fd7546f2f430bb4c2eda57be7a17c/providers/Microsoft.Advisor/recommendations/2dc79be0-2aea-2e9e-677a-b3b47ca2179b"
