"Category","Impact","Risk","Problem","Solution","ImpactedField","ImpactedValue","ResourceId","ResourceName","ResourceType","ResourceGroupName","LastUpdated","RecommendationId","Id"
"Security","Medium",,"Email notification to subscription owner for high severity alerts should be enabled","Email notification to subscription owner for high severity alerts should be enabled","Microsoft.Subscriptions/subscriptions","1acecba7-23bd-4d4d-9770-0b11998514dc","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","1acecba7-23bd-4d4d-9770-0b11998514dc","Microsoft.Subscriptions/subscriptions","","05/15/2026 13:58:53","aaa34532f4e6bcaa6ff8fdd22530b9551a37638c94ffa6722356bf1704832f21","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Advisor/recommendations/aaa34532f4e6bcaa6ff8fdd22530b9551a37638c94ffa6722356bf1704832f21"
"Security","Low",,"Email notification for high severity alerts should be enabled","Email notification for high severity alerts should be enabled","Microsoft.Subscriptions/subscriptions","1acecba7-23bd-4d4d-9770-0b11998514dc","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","1acecba7-23bd-4d4d-9770-0b11998514dc","Microsoft.Subscriptions/subscriptions","","06/01/2026 15:00:23","1425a61424040be698b514d71c9aaece79a541147d1ea9bcd7df0bfc52abf6f6","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Advisor/recommendations/1425a61424040be698b514d71c9aaece79a541147d1ea9bcd7df0bfc52abf6f6"
"HighAvailability","High",,"Create an Azure Service Health alert","Create an Azure Service Health alert","Microsoft.Subscriptions/subscriptions","1acecba7-23bd-4d4d-9770-0b11998514dc","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","1acecba7-23bd-4d4d-9770-0b11998514dc","Microsoft.Subscriptions/subscriptions","","05/19/2026 22:34:37","507cb0e4224f6f82868ca53e25e1f7ccb6fb6e58a52cf4ef29b7967f43eaa39a","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Advisor/recommendations/507cb0e4224f6f82868ca53e25e1f7ccb6fb6e58a52cf4ef29b7967f43eaa39a"
"Security","Low",,"Subscriptions should have a contact email address for security issues","Subscriptions should have a contact email address for security issues","Microsoft.Subscriptions/subscriptions","1acecba7-23bd-4d4d-9770-0b11998514dc","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","1acecba7-23bd-4d4d-9770-0b11998514dc","Microsoft.Subscriptions/subscriptions","","06/06/2026 13:15:18","19cb84c8b040f7e268d23b27fa1fc7474d88f04b6e3abf904385c4adbdcf5666","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Advisor/recommendations/19cb84c8b040f7e268d23b27fa1fc7474d88f04b6e3abf904385c4adbdcf5666"
"HighAvailability","High",,"Enable zone redundancy for storage accounts to improve high availability and resiliency","Enable zone redundancy for storage accounts to improve high availability and resiliency","MICROSOFT.STORAGE/STORAGEACCOUNTS","mcaps97700b11998514dc","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/mcapsgovernance/providers/microsoft.storage/storageaccounts/mcaps97700b11998514dc","mcaps97700b11998514dc","MICROSOFT.STORAGE/STORAGEACCOUNTS","mcapsgovernance","06/01/2026 00:55:16","28a8be166f80448519730bbdc18dccff425f6ec8ab73614b10e6860df7d61107","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/mcapsgovernance/providers/microsoft.storage/storageaccounts/mcaps97700b11998514dc/providers/Microsoft.Advisor/recommendations/28a8be166f80448519730bbdc18dccff425f6ec8ab73614b10e6860df7d61107"
"Security","Medium",,"Storage accounts should restrict network access using virtual network rules","Storage accounts should restrict network access using virtual network rules","Microsoft.Storage/storageAccounts","mcaps97700b11998514dc","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/mcapsgovernance/providers/microsoft.storage/storageaccounts/mcaps97700b11998514dc","mcaps97700b11998514dc","Microsoft.Storage/storageAccounts","mcapsgovernance","05/17/2026 22:25:07","4742e4977b210e5f742882f12980c49e8c14625a6980d2efcfcf8d3b5e990572","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/mcapsgovernance/providers/microsoft.storage/storageaccounts/mcaps97700b11998514dc/providers/Microsoft.Advisor/recommendations/4742e4977b210e5f742882f12980c49e8c14625a6980d2efcfcf8d3b5e990572"
"Security","Medium",,"Storage account should use a private link connection","Storage account should use a private link connection","Microsoft.Storage/storageAccounts","mcaps97700b11998514dc","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/mcapsgovernance/providers/microsoft.storage/storageaccounts/mcaps97700b11998514dc","mcaps97700b11998514dc","Microsoft.Storage/storageAccounts","mcapsgovernance","05/20/2026 07:11:28","74709f9dcae93a18d7005957c99fd85135c8157d212ae114d41c97717a8f9802","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/mcapsgovernance/providers/microsoft.storage/storageaccounts/mcaps97700b11998514dc/providers/Microsoft.Advisor/recommendations/74709f9dcae93a18d7005957c99fd85135c8157d212ae114d41c97717a8f9802"
"Security","Low",,"Access to storage accounts with firewall and virtual network configurations should be restricted","Access to storage accounts with firewall and virtual network configurations should be restricted","Microsoft.Storage/storageAccounts","mcaps97700b11998514dc","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/mcapsgovernance/providers/microsoft.storage/storageaccounts/mcaps97700b11998514dc","mcaps97700b11998514dc","Microsoft.Storage/storageAccounts","mcapsgovernance","05/20/2026 14:01:04","5b1aac3298355be0d3ff3ac6eb342242af79c51666ed0dca7270935bf266d692","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/mcapsgovernance/providers/microsoft.storage/storageaccounts/mcaps97700b11998514dc/providers/Microsoft.Advisor/recommendations/5b1aac3298355be0d3ff3ac6eb342242af79c51666ed0dca7270935bf266d692"
"Security","High",,"Service Principals should not be assigned with administrative roles at the subscription and resource group level","Service Principals should not be assigned with administrative roles at the subscription and resource group level","Microsoft.Subscriptions/subscriptions","7d2b69ae-0735-4d79-a919-08568005bdc2","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/microsoft.security/pricings/cloudposture/securityentitydata/7d2b69ae-0735-4d79-a919-08568005bdc2","7d2b69ae-0735-4d79-a919-08568005bdc2","Microsoft.Subscriptions/subscriptions","","06/04/2026 02:34:17","9983373867503b01a2984b12e4585de3c7fed12de88e9ab11e128a3a9d6a513e","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/microsoft.security/pricings/cloudposture/securityentitydata/7d2b69ae-0735-4d79-a919-08568005bdc2/providers/Microsoft.Advisor/recommendations/9983373867503b01a2984b12e4585de3c7fed12de88e9ab11e128a3a9d6a513e"
"Security","High",,"Service Principals should not be assigned with administrative roles at the subscription and resource group level","Service Principals should not be assigned with administrative roles at the subscription and resource group level","Microsoft.Subscriptions/subscriptions","d901980f-43b1-42fb-895a-3e69530491eb","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/microsoft.security/pricings/cloudposture/securityentitydata/d901980f-43b1-42fb-895a-3e69530491eb","d901980f-43b1-42fb-895a-3e69530491eb","Microsoft.Subscriptions/subscriptions","","06/04/2026 02:34:17","6b06069c362d124ff72e56efcc330908bd29b147e45dc58bc89900a5662ea5ba","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/microsoft.security/pricings/cloudposture/securityentitydata/d901980f-43b1-42fb-895a-3e69530491eb/providers/Microsoft.Advisor/recommendations/6b06069c362d124ff72e56efcc330908bd29b147e45dc58bc89900a5662ea5ba"
