"Category","Impact","Risk","Problem","Solution","ImpactedField","ImpactedValue","ResourceId","ResourceName","ResourceType","ResourceGroupName","LastUpdated","RecommendationId","Id"
"HighAvailability","High",,"Ensure Azure Disks are in the same zone as your VM for higher resiliency and availability","Ensure Azure Disks are in the same zone as your VM for higher resiliency and availability","MICROSOFT.COMPUTE/DISKS","vm-demo-app-01_osdisk_1_e89fd7546f2f430bb4c2eda57be7a17c","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-inventory-demo/providers/microsoft.compute/disks/vm-demo-app-01_osdisk_1_e89fd7546f2f430bb4c2eda57be7a17c","vm-demo-app-01_osdisk_1_e89fd7546f2f430bb4c2eda57be7a17c","MICROSOFT.COMPUTE/DISKS","rg-inventory-demo","07/08/2026 18:27:33","2dc79be0-2aea-2e9e-677a-b3b47ca2179b","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-inventory-demo/providers/microsoft.compute/disks/vm-demo-app-01_osdisk_1_e89fd7546f2f430bb4c2eda57be7a17c/providers/Microsoft.Advisor/recommendations/2dc79be0-2aea-2e9e-677a-b3b47ca2179b"
"HighAvailability","High",,"Ensure Azure Disks are in the same zone as your VM for higher resiliency and availability","Ensure Azure Disks are in the same zone as your VM for higher resiliency and availability","MICROSOFT.COMPUTE/DISKS","vm-demo-mgmt-01_osdisk_1_94fcba78c6ed43aea9dd0b66c9bc83cc","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-inventory-demo/providers/microsoft.compute/disks/vm-demo-mgmt-01_osdisk_1_94fcba78c6ed43aea9dd0b66c9bc83cc","vm-demo-mgmt-01_osdisk_1_94fcba78c6ed43aea9dd0b66c9bc83cc","MICROSOFT.COMPUTE/DISKS","rg-inventory-demo","07/08/2026 18:27:33","b5c0fdb6-6a4f-fc1e-d1b0-b3bcc287ca7e","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-inventory-demo/providers/microsoft.compute/disks/vm-demo-mgmt-01_osdisk_1_94fcba78c6ed43aea9dd0b66c9bc83cc/providers/Microsoft.Advisor/recommendations/b5c0fdb6-6a4f-fc1e-d1b0-b3bcc287ca7e"
"HighAvailability","High",,"Ensure Azure Disks are in the same zone as your VM for higher resiliency and availability","Ensure Azure Disks are in the same zone as your VM for higher resiliency and availability","MICROSOFT.COMPUTE/DISKS","vm-demo-web-01_osdisk_1_2392e93e7c42432894a9e1d1ba5e26ce","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-inventory-demo/providers/microsoft.compute/disks/vm-demo-web-01_osdisk_1_2392e93e7c42432894a9e1d1ba5e26ce","vm-demo-web-01_osdisk_1_2392e93e7c42432894a9e1d1ba5e26ce","MICROSOFT.COMPUTE/DISKS","rg-inventory-demo","07/08/2026 18:27:33","0b2d57e3-466f-7753-e67f-72e088349227","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-inventory-demo/providers/microsoft.compute/disks/vm-demo-web-01_osdisk_1_2392e93e7c42432894a9e1d1ba5e26ce/providers/Microsoft.Advisor/recommendations/0b2d57e3-466f-7753-e67f-72e088349227"
"HighAvailability","High",,"Ensure Azure Disks are in the same zone as your VM for higher resiliency and availability","Ensure Azure Disks are in the same zone as your VM for higher resiliency and availability","MICROSOFT.COMPUTE/DISKS","vm-demo-app-02_osdisk_1_5cb5007064c247558fe1bb771768070c","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-inventory-demo/providers/microsoft.compute/disks/vm-demo-app-02_osdisk_1_5cb5007064c247558fe1bb771768070c","vm-demo-app-02_osdisk_1_5cb5007064c247558fe1bb771768070c","MICROSOFT.COMPUTE/DISKS","rg-inventory-demo","07/08/2026 18:27:33","af026a38-e217-4c65-2b8f-34eaaa81d676","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-inventory-demo/providers/microsoft.compute/disks/vm-demo-app-02_osdisk_1_5cb5007064c247558fe1bb771768070c/providers/Microsoft.Advisor/recommendations/af026a38-e217-4c65-2b8f-34eaaa81d676"
"HighAvailability","High",,"Ensure Azure Disks are in the same zone as your VM for higher resiliency and availability","Ensure Azure Disks are in the same zone as your VM for higher resiliency and availability","MICROSOFT.COMPUTE/DISKS","vm-demo-db-01_osdisk_1_85ac425398fe4cca995190d561270e35","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-inventory-demo/providers/microsoft.compute/disks/vm-demo-db-01_osdisk_1_85ac425398fe4cca995190d561270e35","vm-demo-db-01_osdisk_1_85ac425398fe4cca995190d561270e35","MICROSOFT.COMPUTE/DISKS","rg-inventory-demo","07/08/2026 18:27:33","122819a6-1602-40bd-41f9-6ad911d3caf7","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-inventory-demo/providers/microsoft.compute/disks/vm-demo-db-01_osdisk_1_85ac425398fe4cca995190d561270e35/providers/Microsoft.Advisor/recommendations/122819a6-1602-40bd-41f9-6ad911d3caf7"
"HighAvailability","High",,"Ensure Azure Disks are in the same zone as your VM for higher resiliency and availability","Ensure Azure Disks are in the same zone as your VM for higher resiliency and availability","MICROSOFT.COMPUTE/DISKS","vm-pw-ops-dev-jpw-27161_osdisk_1_d208705db396475a997b7edc60a576f9","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-pw-ops-dev-jpe-27161/providers/microsoft.compute/disks/vm-pw-ops-dev-jpw-27161_osdisk_1_d208705db396475a997b7edc60a576f9","vm-pw-ops-dev-jpw-27161_osdisk_1_d208705db396475a997b7edc60a576f9","MICROSOFT.COMPUTE/DISKS","rg-pw-ops-dev-jpe-27161","07/08/2026 16:50:55","85cda479-cad9-ba12-00f5-acad40bbdce7","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-pw-ops-dev-jpe-27161/providers/microsoft.compute/disks/vm-pw-ops-dev-jpw-27161_osdisk_1_d208705db396475a997b7edc60a576f9/providers/Microsoft.Advisor/recommendations/85cda479-cad9-ba12-00f5-acad40bbdce7"
"HighAvailability","High",,"Ensure Azure Disks are in the same zone as your VM for higher resiliency and availability","Ensure Azure Disks are in the same zone as your VM for higher resiliency and availability","MICROSOFT.COMPUTE/DISKS","mobvmghc-vm-yypwhhh6st5ky_osdisk_1_44c6a46557db42e5b234bfe64d084ce0","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-mobile-ghc-cli/providers/microsoft.compute/disks/mobvmghc-vm-yypwhhh6st5ky_osdisk_1_44c6a46557db42e5b234bfe64d084ce0","mobvmghc-vm-yypwhhh6st5ky_osdisk_1_44c6a46557db42e5b234bfe64d084ce0","MICROSOFT.COMPUTE/DISKS","rg-mobile-ghc-cli","07/08/2026 16:52:50","9f7e32ea-af45-c4ea-071a-3cab0eed788c","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-mobile-ghc-cli/providers/microsoft.compute/disks/mobvmghc-vm-yypwhhh6st5ky_osdisk_1_44c6a46557db42e5b234bfe64d084ce0/providers/Microsoft.Advisor/recommendations/9f7e32ea-af45-c4ea-071a-3cab0eed788c"
"HighAvailability","High",,"Enable zone redundancy for storage accounts to improve high availability and resiliency","Enable zone redundancy for storage accounts to improve high availability and resiliency","MICROSOFT.STORAGE/STORAGEACCOUNTS","mcaps97700b11998514dc","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/mcapsgovernance/providers/microsoft.storage/storageaccounts/mcaps97700b11998514dc","mcaps97700b11998514dc","MICROSOFT.STORAGE/STORAGEACCOUNTS","mcapsgovernance","07/08/2026 23:03:50","f05ad611-13ad-b01c-9136-1d79d27c5a28","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/mcapsgovernance/providers/microsoft.storage/storageaccounts/mcaps97700b11998514dc/providers/Microsoft.Advisor/recommendations/f05ad611-13ad-b01c-9136-1d79d27c5a28"
"HighAvailability","High",,"Enable zone redundancy for storage accounts to improve high availability and resiliency","Enable zone redundancy for storage accounts to improve high availability and resiliency","MICROSOFT.STORAGE/STORAGEACCOUNTS","stdemogootyszw77dgs","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-inventory-demo/providers/microsoft.storage/storageaccounts/stdemogootyszw77dgs","stdemogootyszw77dgs","MICROSOFT.STORAGE/STORAGEACCOUNTS","rg-inventory-demo","07/08/2026 22:11:45","9b8bb9b7-23f7-dc77-6213-46873127854c","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-inventory-demo/providers/microsoft.storage/storageaccounts/stdemogootyszw77dgs/providers/Microsoft.Advisor/recommendations/9b8bb9b7-23f7-dc77-6213-46873127854c"
"OperationalExcellence","High",,"Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","MICROSOFT.COMPUTE/VIRTUALMACHINES","vm-demo-mgmt-01","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-inventory-demo/providers/Microsoft.Compute/virtualMachines/vm-demo-mgmt-01","vm-demo-mgmt-01","MICROSOFT.COMPUTE/VIRTUALMACHINES","rg-inventory-demo","07/08/2026 20:28:21","cd42a82f-d75d-f0dc-6421-f132b44a9197","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-inventory-demo/providers/Microsoft.Compute/virtualMachines/vm-demo-mgmt-01/providers/Microsoft.Advisor/recommendations/cd42a82f-d75d-f0dc-6421-f132b44a9197"
